statDate,q1,q2,auto,geo,gender,age,poll
18.12.19 06:46,Дром. Ру,drom·ru,Нет,в Челябинской области,Мужчина,35-44 лет,chel01
18.12.19 07:02,Авто ру,auto·ru,Нет,Свердловская обл,Мужчина,45-50 лет,chel01
18.12.19 07:05,Авито дром авто ру,avito·ru,"Да, я его вожу",Раньше продивал,Мужчина,25-34 лет,chel01
18.12.19 07:29,Авто ру и дром,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,45-50 лет,chel01
18.12.19 11:54,Юла,avito·ru,Нет,в Челябинской области,Мужчина,25-34 лет,chel01
18.12.19 11:55,Авито,avito·ru,Нет,в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 12:16,"Авито, Дром ","drom·ru, auto·ru, avito·ru","Да, я его вожу",Новосибирская область,Мужчина,45-50 лет,chel01
18.12.19 12:27,Avito авто,avito·ru,"Да, но я его не вожу",в Челябинской области,Мужчина,менее 18 лет,chel01
18.12.19 12:27,Avito авто,avito·ru,"Да, но я его не вожу",в Челябинской области,Мужчина,менее 18 лет,chel01
18.12.19 12:31,Авто. Ру,"drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 12:34,Форд Нисан ,avito·ru,"Да, но я его не вожу",в Челябинске,Женщина,51 и более лет,chel01
18.12.19 12:36,Авито юла,avito·ru,"Да, но я его не вожу",в Челябинске,Женщина,51 и более лет,chel01
18.12.19 12:43,Дром,drom·ru,Нет,в Челябинске,Мужчина,18-24 лет,chel01
18.12.19 12:46,Авто ру авито ,"drom·ru, auto·ru, avito·ru",Нет,в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 12:47,Авто. Ру,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 13:01,Droom,auto·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 13:02,Не знаю,auto·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 13:13,Автору,auto·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 13:24,Авто ру,auto·ru,"Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 13:31,Дром,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 13:40,Авто. Ру,auto·ru,Нет,в Челябинской области,Мужчина,18-24 лет,chel01
18.12.19 13:44,киа,auto·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 13:46,Авто.ру дром,auto·ru,"Да, но я его не вожу",в Челябинске,Мужчина,18-24 лет,chel01
18.12.19 13:54,Автору,auto·ru,"Да, я его вожу",в Челябинской области,Мужчина,18-24 лет,chel01
18.12.19 14:00,"НЕНАВИЖУ. БУДУЩЕЕ. ПИЗДЦСМЕНОВ. КТО. ВОРУЕТ У. ПЕНСИОНЕРОВ. А. ЭТО. МОСКВА. МАГНИТКУ. ПРОДМ
АЛИ. ЗА. КОПЬЕ. НАШИ",в. ТУАЛЕТЕ. С. Бумажкой,Нет,в Челябинской области,Мужчина,51 и более лет,chel01
18.12.19 14:02,Кавказ-центр,Телеграм,Нет,в Челябинске,Женщина,35-44 лет,chel01
18.12.19 14:06,Ппамовст,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,45-50 лет,chel01
18.12.19 14:08,Дром ру,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 14:11,Дром,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,45-50 лет,chel01
18.12.19 14:12,Лада,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
