,id,Время старта,Время финиша,id опроса,Опрос полностью пройден,1. **Какие сайты или мобильные приложения о продаже автомобилей вы знаете?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,3. **Есть ли в вашей семье автомобиль?**,6. **Где вы проживаете?**,6. **Где вы проживаете?**,9. **Ваш пол?**,10. **Ваш возраст?**
,,,,,,1. **Какие сайты или мобильные приложения о продаже автомобилей вы знаете?**,2. drom.ru,2. auto.ru,2. avito.ru,2. Другое (впишите свой вариант),2. Другое (впишите свой вариант)_Текст,3. **Есть ли в вашей семье автомобиль?**,6. **Где вы проживаете?**,6. **Где вы проживаете?**_Текст,9. **Ваш пол?**,10. **Ваш возраст?**
1,2f8d0e8e-936b-5ceb-a064-986ea78c0384,2019-12-16 13:05:32,2019-12-16 13:05:57,6zq8hMaChwp7M545Ztg3xJ,да,'дром,drom.ru,,avito.ru,,,"Да, я его вожу",в Екатеринбурге,,Мужчина,35-44 лет
2,8b8e089e-da84-5f4c-bdae-30aa1239cd75,2019-12-16 13:06:05,2019-12-16 13:06:42,6zq8hMaChwp7M545Ztg3xJ,да,'avito,drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Екатеринбурге,,Мужчина,45-50 лет
3,1c28c762-68ac-5d7f-9ad3-0abf136177fd,2019-12-16 13:08:59,2019-12-16 13:10:03,6zq8hMaChwp7M545Ztg3xJ,да,"'Авто.ру, дром.ру,  Авито, юла, из рук в руки",drom.ru,auto.ru,,,,"Да, я его вожу",в Екатеринбурге,,Мужчина,45-50 лет
4,18bd2fbb-12e4-51eb-b14f-41a4e9e5e660,2019-12-16 13:10:01,2019-12-16 13:10:51,6zq8hMaChwp7M545Ztg3xJ,да,'avito,drom.ru,,avito.ru,,,"Да, я его вожу",в Екатеринбурге,,Мужчина,35-44 лет
5,ad9412ef-771b-5759-bf0b-afc13a5fb110,2019-12-16 13:11:23,2019-12-16 13:12:02,6zq8hMaChwp7M545Ztg3xJ,да,"'auto.ru
e1.ru
drive.ru",,auto.ru,,e1.ru,e1.ru,"Да, но я его не вожу",в Екатеринбурге,,Мужчина,35-44 лет
6,37fef853-d070-5d19-9812-a3ed24ac8bac,2019-12-16 13:14:06,2019-12-16 13:14:21,6zq8hMaChwp7M545Ztg3xJ,да,'Крпар,,auto.ru,,,,"Да, я его вожу",в Екатеринбурге,,Мужчина,18-24 лет
7,9a53674e-4954-56c3-a1b9-310b4e272a99,2019-12-16 13:27:19,2019-12-16 13:27:57,6zq8hMaChwp7M545Ztg3xJ,да,'авито,,auto.ru,avito.ru,,,"Да, я его вожу",в Екатеринбурге,,Мужчина,35-44 лет
8,6b45910f-ed0a-5689-8e5d-15610d76641a,2019-12-16 13:33:35,2019-12-16 13:34:11,6zq8hMaChwp7M545Ztg3xJ,да,'Авито ,drom.ru,,avito.ru,,,"Да, но я его не вожу",в Екатеринбурге,,Мужчина,25-34 лет
9,f847a8cd-8d3b-5b8c-a6e7-96a1feeffc1f,2019-12-16 13:34:12,2019-12-16 13:34:40,6zq8hMaChwp7M545Ztg3xJ,да,'внопно,,,avito.ru,,,"Да, я его вожу",в Екатеринбурге,,Мужчина,18-24 лет
10,f2afebab-ea69-575a-a834-df5382377710,2019-12-16 13:47:04,2019-12-16 13:47:30,6zq8hMaChwp7M545Ztg3xJ,да,'Авито ,drom.ru,auto.ru,avito.ru,,,"Да, но я его не вожу",в Екатеринбурге,,Мужчина,25-34 лет
11,403ad99a-ed6b-5729-bca8-9f2690f2ff61,2019-12-16 13:55:14,2019-12-16 13:55:51,6zq8hMaChwp7M545Ztg3xJ,да,'авито,drom.ru,,avito.ru,,,"Да, я его вожу",в Екатеринбурге,,Мужчина,35-44 лет
12,7672fdd4-5c5b-50f6-b0f5-8d32c2216720,2019-12-16 13:56:12,2019-12-16 13:56:56,6zq8hMaChwp7M545Ztg3xJ,да,'авито,,auto.ru,,,,"Да, я его вожу",в Екатеринбурге,,Мужчина,18-24 лет
13,0a3c79f8-92a1-5215-a80b-fa1c265e90f3,2019-12-16 13:57:03,2019-12-16 13:57:56,6zq8hMaChwp7M545Ztg3xJ,да,"'Авито, авто ру, дром ру",drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Екатеринбурге,,Мужчина,35-44 лет
14,700cb075-00db-5a9e-949b-dd3f21e6ab41,2019-12-16 14:05:05,2019-12-16 14:06:49,6zq8hMaChwp7M545Ztg3xJ,да,"'Авто, Яндекс, Авито, Гугл",drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Екатеринбурге,,Мужчина,35-44 лет
