statDate,q1,q2,auto,geo,gender,age,poll
16.12.19 21:48,No,No,Нет,No,Мужчина,35-44 лет,ekat01
16.12.19 22:27,Не знаю,auto·ru,Нет,в Екатеринбурге,Мужчина,45-50 лет,ekat01
17.12.19 01:04,E1.ru,E1.ru,"Да, я его вожу",в Свердловской области,Мужчина,35-44 лет,ekat01
17.12.19 01:08,Дром пу. Авто ру.,"drom·ru, avito·ru","Да, я его вожу",в Екатеринбурге,Мужчина,45-50 лет,ekat01
17.12.19 01:25,Авито. Дром. Фарпост.,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Екатеринбурге,Мужчина,45-50 лет,ekat01
17.12.19 01:35,DROM.RU,drom·ru,Нет,в Екатеринбурге,Мужчина,менее 18 лет,ekat01
17.12.19 01:38,DROM.RU,drom·ru,"Да, но я его не вожу",в Екатеринбурге,Мужчина,менее 18 лет,ekat01
17.12.19 01:47,Дом.ру,"drom·ru, avito·ru","Да, но я его не вожу",в Екатеринбурге,Мужчина,51 и более лет,ekat01
17.12.19 01:47,Не каких ,"drom·ru, auto·ru, avito·ru",Нет,в Екатеринбурге,Мужчина,51 и более лет,ekat01
17.12.19 01:54,Авто ру,auto·ru,"Да, я его вожу",в Екатеринбурге,Мужчина,45-50 лет,ekat01
17.12.19 01:57,Е1,auto·ru,"Да, я его вожу",в Екатеринбурге,Мужчина,35-44 лет,ekat01
17.12.19 02:15,"Авто.ру, Дром,ру. Автоспорт.ру","auto·ru, avito·ru","Да, но я его не вожу",в Екатеринбурге,Мужчина,18-24 лет,ekat01
17.12.19 02:26,авто ру,"auto·ru, avito·ru","Да, но я его не вожу",в Екатеринбурге,Женщина,менее 18 лет,ekat01
17.12.19 02:28,"Авто, дром","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Екатеринбурге,Мужчина,51 и более лет,ekat01
17.12.19 02:41,Е1,Е1,"Да, но я его не вожу",в Екатеринбурге,Женщина,45-50 лет,ekat01
17.12.19 02:46,Дром и авто ру,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Екатеринбурге,Мужчина,25-34 лет,ekat01
17.12.19 02:47,Никакие,Нигде,Нет,в Екатеринбурге,Мужчина,18-24 лет,ekat01
17.12.19 02:55,Че каго,drom·ru,"Да, но я его не вожу",в Екатеринбурге,Мужчина,35-44 лет,ekat01
17.12.19 02:58,"Авто ру,авито","auto·ru, avito·ru","Да, я его вожу",в Екатеринбурге,Мужчина,35-44 лет,ekat01
17.12.19 03:22,Авто. Ру,"drom·ru, auto·ru","Да, я его вожу",в Екатеринбурге,Мужчина,51 и более лет,ekat01
17.12.19 03:29,Е1,auto·ru,"Да, я его вожу",в Екатеринбурге,Мужчина,35-44 лет,ekat01
17.12.19 03:31,a to.ru,auto·ru,Нет,в Екатеринбурге,Мужчина,18-24 лет,ekat01
17.12.19 03:35,Дром. Авто ру,"drom·ru, auto·ru","Да, я его вожу",в Екатеринбурге,Мужчина,35-44 лет,ekat01
17.12.19 03:37,Е1,auto·ru,"Да, я его вожу",в Екатеринбурге,Мужчина,35-44 лет,ekat01
17.12.19 03:38,Е1,auto·ru,"Да, я его вожу",в Екатеринбурге,Мужчина,35-44 лет,ekat01
