statDate,q1,q2,auto,geo,gender,age,poll
16.12.19 20:24,Авито,drom·ru,"Да, но я его не вожу",в Свердловской области,Женщина,менее 18 лет,ekat01
16.12.19 20:24,Авито,drom·ru,"Да, но я его не вожу",в Свердловской области,Женщина,18-24 лет,ekat01
16.12.19 21:23,Не знаю,auto·ru,Нет,в Екатеринбурге,Женщина,35-44 лет,ekat01
16.12.19 21:23,авито,"drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Свердловской области,Женщина,18-24 лет,ekat01
16.12.19 22:39,Авито,auto·ru,Нет,в Свердловской области,Мужчина,45-50 лет,ekat01
16.12.19 22:39,Авито,avito·ru,"Да, но я его не вожу",в Свердловской области,Мужчина,18-24 лет,ekat01
16.12.19 22:42,Авито,auto·ru,Нет,в Свердловской области,Мужчина,51 и более лет,ekat01
16.12.19 22:52,auto.ru,auto·ru,"Да, я его вожу",в Екатеринбурге,Мужчина,18-24 лет,ekat01
16.12.19 22:53,auto.ru,"drom·ru, auto·ru","Да, я его вожу",в Екатеринбурге,Мужчина,18-24 лет,ekat01
16.12.19 22:53,auto.ru,"drom·ru, auto·ru","Да, я его вожу",в Екатеринбурге,Мужчина,18-24 лет,ekat01
16.12.19 23:11,Авто ру,auto·ru,"Да, но я его не вожу",в Свердловской области,Мужчина,менее 18 лет,ekat01
16.12.19 23:11,Яндекс карты,Не собираюсь,"Да, я его вожу",в Свердловской области,Мужчина,51 и более лет,ekat01
16.12.19 23:18,Автору,"drom·ru, auto·ru, avito·ru",Нет,в Свердловской области,Женщина,18-24 лет,ekat01
16.12.19 23:19,Автору,"drom·ru, auto·ru, avito·ru",Нет,в Свердловской области,Женщина,18-24 лет,ekat01
16.12.19 23:26,Е1 ,drom·ru,"Да, я его вожу",Курганская область ,Женщина,25-34 лет,ekat01
17.12.19 00:12,Дром ,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Свердловской области,Мужчина,менее 18 лет,ekat01
17.12.19 00:37,Авто.ру,auto·ru,"Да, я его вожу",в Свердловской области,Мужчина,18-24 лет,ekat01
17.12.19 00:37,Авто.ру,auto·ru,"Да, я его вожу",в Свердловской области,Мужчина,18-24 лет,ekat01
17.12.19 01:53,Никакой,"auto·ru, avito·ru",Нет,Пермь,Мужчина,менее 18 лет,ekat01
17.12.19 02:18,авто.ру дром.ру авито,"auto·ru, avito·ru","Да, я его вожу",в Екатеринбурге,Мужчина,35-44 лет,ekat01
17.12.19 02:20,Никаких,auto·ru,"Да, но я его не вожу",Мозырь,Мужчина,менее 18 лет,ekat01
17.12.19 02:46,"Авито, авто. Ру, ","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Екатеринбурге,Мужчина,35-44 лет,ekat01
17.12.19 02:46,Не какие,avito·ru,Нет,Нижний Тагил ,Мужчина,25-34 лет,ekat01
17.12.19 02:46,Не какие,avito·ru,Нет,Нижний Тагил ,Мужчина,25-34 лет,ekat01
17.12.19 02:47,Не какие,avito·ru,Нет,Нижний Тагил ,Мужчина,25-34 лет,ekat01
17.12.19 02:47,avto.ua avto.ru,avto.ua ,"Да, я его вожу",янао,Мужчина,35-44 лет,ekat01
17.12.19 02:49,Не какие,auto·ru,Нет,Нижний Тагил ,Мужчина,25-34 лет,ekat01
17.12.19 03:44,Нет ,avito·ru,"Да, я его вожу",Маскве,Мужчина,менее 18 лет,ekat01
17.12.19 03:49,Авто.ру,auto·ru,"Да, но я его не вожу",Каган,Мужчина,18-24 лет,ekat01
17.12.19 04:06,"Вукпррк

Ккнр",auto·ru,"Да, я его вожу",в Свердловской области,Мужчина,18-24 лет,ekat01
17.12.19 04:35,Avtoru,avito·ru,"Да, я его вожу",в Екатеринбурге,Мужчина,18-24 лет,ekat01
17.12.19 04:35,Avtoru,avito·ru,"Да, я его вожу",в Екатеринбурге,Мужчина,18-24 лет,ekat01
17.12.19 04:35,Avtoru,avito·ru,"Да, я его вожу",в Екатеринбурге,Мужчина,18-24 лет,ekat01
17.12.19 04:47,Авито ,"drom·ru, auto·ru, avito·ru","Да, я его вожу",Элиста ,Мужчина,25-34 лет,ekat01
17.12.19 04:48,Авито ,"drom·ru, auto·ru, avito·ru","Да, я его вожу",Элиста ,Мужчина,25-34 лет,ekat01
17.12.19 04:49,Авито ,avito·ru,"Да, я его вожу",Элиста ,Мужчина,25-34 лет,ekat01
17.12.19 04:56,Да,auto·ru,"Да, я его вожу",в Екатеринбурге,Мужчина,18-24 лет,ekat01
17.12.19 04:56,Да,auto·ru,"Да, я его вожу",в Екатеринбурге,Мужчина,18-24 лет,ekat01
17.12.19 05:05,Авито,avito·ru,"Да, я его вожу",Челябинская Область ,Мужчина,25-34 лет,ekat01
17.12.19 05:06,Авито ,avito·ru,"Да, я его вожу",Челябинская Область ,Мужчина,25-34 лет,ekat01
17.12.19 05:14,Дром ру,"drom·ru, auto·ru","Да, я его вожу",в Свердловской области,Мужчина,51 и более лет,ekat01
17.12.19 05:40,Агама,drom·ru,"Да, но я его не вожу",в Свердловской области,Мужчина,35-44 лет,ekat01
17.12.19 05:48,Арм,drom·ru,"Да, но я его не вожу",в Свердловской области,Мужчина,18-24 лет,ekat01
17.12.19 06:17,Контак,auto·ru,"Да, но я его не вожу",в Екатеринбурге,Мужчина,18-24 лет,ekat01
17.12.19 06:35,Авто ру,auto·ru,"Да, но я его не вожу",Севастополь,Мужчина,35-44 лет,ekat01
