,id,Время старта,Время финиша,id опроса,Опрос полностью пройден,1. **Какие сайты или мобильные приложения о продаже автомобилей вы знаете?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,3. **Есть ли в вашей семье автомобиль?**,6. **Где вы проживаете?**,6. **Где вы проживаете?**,9. **Ваш пол?**,10. **Ваш возраст?**
21,c82360c4-b8e4-572d-b2d3-9b778b6fc814,2019-12-16 19:17:25,2019-12-16 19:18:21,12aLco5Uf8m1gJsNEH2BPL,да,'Дром.ру,drom.ru,,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,25-34 лет
22,faebc041-0eec-5233-9336-816797ae8a5d,2019-12-16 19:21:25,2019-12-16 19:22:09,12aLco5Uf8m1gJsNEH2BPL,да,'Авито auto.ru,,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,25-34 лет
23,ae9ff093-9513-5af0-89ce-26434c76c7b6,2019-12-16 19:33:36,2019-12-16 19:34:26,12aLco5Uf8m1gJsNEH2BPL,да,'авто ру авито дром 74ру,drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
24,71150afc-b21b-5987-b960-7715d4cf753b,2019-12-16 19:48:09,2019-12-16 19:48:47,12aLco5Uf8m1gJsNEH2BPL,да,"'авито,авто ру,дром ру",drom.ru,auto.ru,avito.ru,,,Нет,в Челябинске,,Мужчина,35-44 лет
25,5fc5463e-fc4b-575e-8c25-571c9d0fd81b,2019-12-16 20:17:42,2019-12-16 20:21:01,12aLco5Uf8m1gJsNEH2BPL,да,"'Дром ру
Авито
Авто ру
",drom.ru,,avito.ru,,,Нет,в Челябинской области,,Мужчина,25-34 лет
26,85c07314-0f74-59e8-9a96-9e9363a07d64,2019-12-16 20:52:54,2019-12-16 20:54:10,12aLco5Uf8m1gJsNEH2BPL,да,"'Drom
Авито
74.ру",drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
27,af64d5e5-ea69-53c8-a8da-89e6dbe3cbd7,2019-12-16 21:28:34,2019-12-16 21:29:13,12aLco5Uf8m1gJsNEH2BPL,да,"'Авито,дром",drom.ru,,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,25-34 лет
28,b78f6e45-41e8-575e-bdc2-cfd3c6d6dfc7,2019-12-16 21:28:57,2019-12-16 21:29:36,12aLco5Uf8m1gJsNEH2BPL,да,'Автору авито Юла ,,auto.ru,avito.ru,,,Нет,в Челябинске,,Мужчина,18-24 лет
29,e2d81403-41d8-54d3-b5ad-201295621368,2019-12-16 21:37:34,2019-12-16 21:38:02,12aLco5Uf8m1gJsNEH2BPL,да,'Дром,drom.ru,auto.ru,,,,Нет,в Челябинске,,Мужчина,25-34 лет
30,405b12f4-f6a3-50b3-9609-00dc048202d8,2019-12-16 22:13:13,2019-12-16 22:15:08,12aLco5Uf8m1gJsNEH2BPL,да,'Авто ру,,auto.ru,,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
