statDate,q1,q2,auto,geo,gender,age,poll
18.12.19 18:09,Авито,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 18:18,Авто ру,auto·ru,"Да, но я его не вожу",в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 18:58,авто ру,auto·ru,"Да, но я его не вожу",в Челябинской области,Женщина,51 и более лет,chel01
18.12.19 19:26,Авито,drom·ru,"Да, но я его не вожу",в Челябинской области,Женщина,25-34 лет,chel01
18.12.19 19:38,Авито,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 19:44,"Авито, дром","drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 19:49,Авито,avito·ru,Нет,в Челябинске,Женщина,35-44 лет,chel01
18.12.19 20:34,никакие,avito·ru,"Да, но я его не вожу",в Челябинске,Женщина,45-50 лет,chel01
18.12.19 20:41,Дром.ру,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 20:45,Drom.ru,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 21:21,Drom,"drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинске,Женщина,18-24 лет,chel01
18.12.19 21:37,авито,"drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинске,Женщина,менее 18 лет,chel01
18.12.19 21:44,74.ru,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 21:47,"Даром, авито, юла, 74ру","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 21:50,Автор.ру,"drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
